TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
0;445.0;491.5;456.7;510.2;8;15;8;17;000100110001000000000000000000000000011001122;100011110001000000001000010010000100011001102;000000000000110000001010000000000000110102222;011000001110010001111001000000110000000100111;1075.0;1057.0;1085.0;1068.0
1;495.6;478.1;402.9;465.2;13;13;7;12;100100110001010001000000010101000000000100122;001010000101001010010001001000100001000001002;001001000010000001000000000010000100000002222;000001001000001000001001101000111000000000110;1076.0;1055.0;1086.0;1065.0
1;nan;603.7;nan;533.1;0;26;0;20;;000001111110001011101011101010001110011011112;;001011001011001001111111001011001001000000001;nan;1057.0;nan;1068.0
0;nan;457.2;nan;391.4;0;12;0;8;;101010000110001000100101100000000000000000102;;000000010000100010000000101001010000000001000;nan;1055.0;nan;1065.0
0;495.2;539.2;588.5;588.4;15;18;18;26;010100011100010000110000000001011000010011022;011011000011000010100000011101110100110001002;010001110000101001101000010001100001111002222;000001001010011011010111011111111001101010111;1076.0;1055.0;1086.0;1065.0
1;413.8;389.7;430.7;371.8;8;8;12;8;000000100011000001010000000000001001000000022;100000001000000010000000000001000101001100002;000001101001010000000001000000000101001102222;001000000000100110000010000000000100000011000;1078.0;1056.0;1087.0;1066.0
1;nan;598.5;nan;568.5;0;25;0;26;;101100111111001101001110100111111000000100102;;111110101110111011100101011100010011011001000;nan;1058.0;nan;1067.0
1;450.6;527.1;444.7;513.5;10;17;11;20;000000001000100100000000010101010000011001022;011000101111000111001000000000111110001000002;000010000010100110001100000000001110000002222;101000011100011100010011101100110000110101000;1078.0;1056.0;1087.0;1066.0
0;508.2;498.8;417.0;568.5;7;12;10;27;000000000000011001000000001000000100001000022;110000110000001010101000100000000010000001002;010000000001100001000000000100000000110002222;001110101000011001111111011010101011110100111;1075.0;1057.0;1085.0;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;581.4;513.3;478.1;575.2;12;16;15;27;010000000000010100000011000101000001000110022;110010101000001000001100010000000110101001012;110010010000100001000110001000110000000112222;111110111101010100100110101101110011101001100;1078.0;1056.0;1087.0;1066.0
0;611.1;549.7;426.7;539.0;14;16;9;24;011010001100010011010000000001000001000101022;111000101000001000010000000010011011011110002;000000000000100010000101000000010100100112222;000101101100011100110001011011110100110111100;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;362.0;401.3;491.7;517.1;10;11;12;20;000010011110000000000000010001011000010000022;100000010000100010000011001001010010000100002;010001100000010011110000001000001100001002222;001000000100111100110010000100110010110111110;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;382.2;509.4;439.4;545.0;10;14;13;24;001000001011100000000001010001001010000000022;110011101110000001010010000100000010000010002;110000001010101100000000001010010001110002222;001000011101110101010101100100110110101001111;1078.0;1056.0;1087.0;1066.0
1;401.5;329.7;538.3;439.9;5;7;16;14;000000110000000100010000000000001000000000022;100000000110000000000001000000000110000000102;110011001100100000001011000010100001010002222;010100000110000001010010010010101001000110000;1075.0;1057.0;1085.0;1068.0
1;666.3;576.3;553.8;595.8;18;20;12;28;100001011011010111010010010100100001000110022;111011001100000001100101010100100111000111002;010001010011001000000000000110100001000002222;011101101110001011011010011011111000110111110;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;504.1;402.8;450.8;453.6;13;9;12;13;000101110001100001000001011000010000000001122;000000000100000000001010010001011000010001002;000000000010100101100000101001000100001102222;010100011110010000001001000010000001100001000;1077.0;1058.0;1088.0;1067.0
1;562.5;537.8;523.1;452.3;14;20;11;15;001001010010000111010000000010010100011100022;001101010110001000111001111111010000000001012;000100010000000000011010000110010011100002222;011000110010010010000001010010111001001000000;1077.0;1058.0;1088.0;1067.0
1;630.6;649.1;634.1;648.4;17;32;19;32;000100010010110110110000111010000000011001022;100111111111011110000111110111011111100011012;010000001111111000111000001010000110010002222;001111111111011011111111110111100001110100110;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;587.5;nan;543.8;0;24;0;24;;111100001011000000101111001110011011101110002;;101101010101110100010010111100110110101010010;nan;1056.0;nan;1066.0
0;540.0;487.3;483.0;501.4;15;15;12;20;010000011111010001100100000000000001101011022;001100001101000110000010101000011100010001002;010101100000110000010100000010000100000002222;110101011100100010110000001110100100010001110;1078.0;1056.0;1087.0;1066.0
1;483.7;552.9;407.3;539.7;10;19;8;22;010010000001010000010000000000101110000000022;100010011001011010000101101010010000010101102;100011000000000001000010000100100000100002222;001101000111011111100110001000110001000101101;1075.0;1057.0;1085.0;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;663.3;646.7;550.1;545.7;15;30;11;21;010000000000000101001100011111000011000011022;111011011001101110010011001110111011011111112;000100000110001000001001010000100100010002222;011101011000110100010001101110100101100000110;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;864.4;605.7;587.2;623.5;35;24;13;29;111011011011011111111011010110110110111111122;101101001001010101100001010111010111000111102;010010100010101000000000000100100001010002222;010101111010101011011011111101111110100100101;1076.0;1055.0;1086.0;1065.0
1;421.5;342.7;382.8;409.5;12;3;6;11;000000000100100011100010001000100101000000022;000000000001000000000000001000000000000001002;000000010001000000010010000010000000000002222;000100010000001000001101001001100001000100000;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;543.2;nan;402.9;0;20;0;10;;001011100111001000001111010110011110001000002;;000000101000100000001100000001001010000000101;nan;1055.0;nan;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;512.2;nan;490.2;0;15;0;16;;001111101010000000100101000110000001001010002;;000001000000100010010100100011111001011000110;nan;1055.0;nan;1065.0
1;472.7;488.5;477.8;450.2;7;15;9;13;010000010000010000000000000010000001000001122;110000101001000000011100001011110000100000002;010001000000100010000000100010110100000002222;000001000100011100000011011000010000100001001;1078.0;1056.0;1087.0;1066.0
1;454.3;468.9;461.3;446.2;9;15;9;12;110100000000000000000000010001011001000000022;001000001101000000110010001001101000000100112;000001100000100110000001000000000000000012222;000000000000111110000011010000010100110000000;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;526.3;434.2;403.1;463.1;12;14;6;19;010001100000010000100101100000000100011001022;000111000110000000111001000000101010010100002;000000000010100100000000100000000010010002222;010011001010110100100001000001010000011111011;1075.0;1057.0;1085.0;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;625.4;528.5;429.1;508.2;17;17;9;17;101001000010000011010010010001010011111010022;001110010100001011100011010010010000101000002;010000000011000000100100000000100000000112222;000000110000010001110010001010111000110100101;1076.0;1055.0;1086.0;1065.0
0;628.6;572.4;459.1;548.3;13;22;9;23;000001001000000001010010010101000000100111122;001011100100011001000001010111011110011110012;000000000010100000011100000100000000000002222;010000011001111000010100101011111001101010111;1184.0;1175.0;1188.0;1179.0
0;578.5;502.9;463.6;495.4;14;16;7;13;010011000001000011010010111000000000011001022;010001010001010110010010000010001010001001012;001010001000100000001001000000000000000002222;000100000010001001110111000001100000000100100;1075.0;1057.0;1085.0;1068.0
0;437.0;545.0;573.5;605.6;9;19;18;31;000001110001000100000000000000101000001001022;100000110001011001001101100000110000011101012;000000001110010011101011010110001011000002222;011111010111001011011111011111110001111100101;1075.0;1057.0;1085.0;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;595.2;597.3;498.0;533.4;12;26;13;22;100001010000100011100000001010000100100001022;101100111111001011101011001110110011000110012;110100001001010000000000000001010110001102222;111001101110010010000110011110100011001001001;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;421.4;497.8;488.7;509.5;10;14;10;19;100100001001000000100000010000000100010010122;110110010010000001100001000100001000001001002;010000000010101100010000000100000010000002222;001100000000101000001111101101101000010110110;1076.0;1055.0;1086.0;1065.0
0;580.5;608.4;587.2;607.3;16;25;21;29;001110000001100111000100001001001010010011022;100010011110111001101000100000111011110101112;010011001111111001101010100000000100010112222;000111101010111101111111001101100011111000111;1075.0;1057.0;1085.0;1068.0
1;483.6;467.0;500.0;517.1;13;10;12;19;000001001000000110010100111100000001110000022;000000010110000000001001000010001000000100102;101100010010000001001010000101000001000012222;011110101010000101001100010110001101001000001;1077.0;1058.0;1088.0;1067.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;472.4;530.8;512.5;513.0;11;20;10;20;100000000000010000001100010000100001001011122;111000101010100001101010111001000100001101002;010010000000000010011001001000100110000002222;001100010000101110010110000100110110100011101;1078.0;1056.0;1087.0;1066.0
1;452.5;456.0;437.0;422.5;8;9;10;14;010000000010000011000010001000000000000011022;111000001100000000010010000010000001000000002;001010000000000001010011000001000101000012222;100001001000000000000000110101100100001011101;1078.0;1056.0;1087.0;1066.0
0;680.7;676.2;518.5;587.2;18;35;15;26;101011011000000110010111010101101000000100022;111111011111111101100111110101000111111111012;110100000000101100101100000110000011100012222;010010011010011011011011011101111101110000110;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;517.3;611.8;491.5;602.5;15;25;8;28;000101100010010010011000101010001101000010022;001100111111101100101111101011001100000011102;001000011001000000000000000000000010001102222;111111101101011011000101011010101001111010011;1077.0;1058.0;1088.0;1067.0
1;456.6;439.0;502.4;418.4;10;11;10;11;010000000011001010010000001000000001000010022;110000001000000000111000000001000000001101002;000000000000000000010101000011110100000012222;000010011100011000000100000001000000101000100;1078.0;1056.0;1087.0;1066.0
1;553.7;508.2;438.8;515.9;11;15;12;21;000100001001010001010010100100000000001001022;000010011011010000100101110110000000000100102;000000010001000100111000101000000110110002222;001001110010101011010111110100001000110000110;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;527.2;561.9;548.0;516.4;12;19;14;20;100001000101000010110000000101000001000001022;110000101011100000000110000100001110111011102;010111000000000000011110000001100101010002222;011100001011001100010001101100110100111100000;1186.0;1176.0;1190.0;1180.0
0;719.8;644.5;605.4;567.2;19;30;17;27;010001000101001001100110001101000111100111022;111010111000011101111010001110100111101111112;110001110001000001100001010010110100000012222;110110011101110100111011011110111100000001101;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;501.0;537.5;520.4;541.9;6;18;12;22;001000100000000000000000000001000001000011022;011010111010000000001010010011001010001110102;000111010000000010000011000000100000000112222;101100000000011100010111111000110101101101100;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;638.9;538.2;558.6;518.9;14;17;14;20;001000001110000010010000100000100110100101022;011110010100000001110000010110011010000100102;110111010010010000001000000100000001110002222;001011001000011000001000101101111001110110100;1076.0;1055.0;1086.0;1065.0
1;515.2;487.7;448.0;490.0;12;14;10;17;000000010000000011010000100100100111001010022;100010101001000010000001010011001001000100102;000001000000000110001010000010001010000002222;001000111000001010011000110101001000101000101;1076.0;1055.0;1086.0;1065.0
1;493.1;373.6;388.3;412.6;11;12;4;12;000110000000001011010100100000000000000101022;000100100110100011000000001000100100010000102;000000000000000000001010001000000000010002222;000000100001000010010000100100100100101100001;1076.0;1055.0;1086.0;1065.0
1;443.6;433.5;469.9;385.7;12;14;10;13;000010111000011000010000100000110000100000122;010001011001000000101000011000001001011000002;100111000000000100100001000000000001010012222;100000010010001010100100100101000001011000000;1075.0;1057.0;1085.0;1068.0
1;671.0;501.7;570.4;576.4;16;17;18;25;110101010000100010001110001010000001000010122;010100110100000110010000000111101100010001012;110100111000011110000011100100010000101002222;110010101100110010001001011111111011001110001;1185.0;1178.0;1189.0;1182.0
1;483.5;569.0;420.9;455.3;8;22;8;14;000000001100000000000000000001000001000101122;111110101011000110101010000100001011100011012;111000100000000001000000000000010000010012222;000000011100111000000000000101010000101110100;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;456.6;495.2;414.3;492.2;8;13;13;15;001100000000000011010000100010000000010000022;100000010100101110000100000010000110000101002;000000000000001010000100111110100010100102222;000001001010001001111101000001001001000100100;1075.0;1057.0;1085.0;1068.0
0;548.6;489.6;389.6;543.5;12;14;9;21;010001010000000001100000010011010001000001122;001001000110000001101001010011010100000001002;000100001000000011100001001001000000000002222;101100101110100010000101001111100001101011000;1077.0;1058.0;1088.0;1067.0
1;365.3;580.6;540.3;552.4;6;23;14;23;000010000000000000010000000010100000000001022;100001110011011010101100101010010011001101012;010000001100101100100101010010100000100002222;010111010110111000110111000011011001000100101;1075.0;1057.0;1085.0;1068.0
0;388.2;486.3;452.7;532.1;8;12;13;23;001000010100000000001010000010000000100001022;000011011000010000100001010010001000000001002;101001000000001110011000100010011010000002222;001011110001001000110110111001111100010100011;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;389.2;539.8;504.8;529.9;8;17;13;20;100000000000000100001001000100010110000000022;011011000100010000100011010100010100001011012;010100100010010100011000000011000000011002222;011000100000000000011001001011111000111101111;1076.0;1055.0;1086.0;1065.0
1;nan;426.9;nan;443.1;0;9;0;15;;010000010001000010000010000100010000001001002;;010101101001010000110010010010101000000001000;nan;1057.0;nan;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;613.6;565.5;506.5;540.2;16;18;10;20;110001010011110010000000011010010001001010022;000101111111100000001010001100001100010011002;010000010000000010000010001011000010001102222;100101101000101011000101000110101001000011101;1077.0;1058.0;1088.0;1067.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;522.8;nan;482.3;0;18;0;18;;101111000001000000000010110011111000101101002;;001010010100000010011000111111010001011000010;nan;1055.0;nan;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;482.4;nan;503.0;0;13;0;18;;000101100111001100010010000101000000001000002;;100010101101000110000111001010000001011010001;nan;1058.0;nan;1067.0
1;nan;506.5;nan;545.1;0;17;0;22;;111000100100000000101010100101100000101010102;;101000111100111100110001010100100100100110110;nan;1056.0;nan;1066.0
1;364.0;488.9;498.8;446.0;6;13;14;13;000000100110000001001000000000000000000100022;100000000110001000001001000010101000000101112;010010000011010010001011100000000001010102222;010010000001000101100011010101000000000000110;1075.0;1057.0;1085.0;1068.0
1;449.3;450.0;455.0;401.5;8;9;7;12;001100000010000000000000000100000011000010022;110000101000000100100010011000000000000000002;000001000100100000000000000000100100000002222;000000011100000100110010101000001000000011000;1078.0;1056.0;1087.0;1066.0
1;397.4;383.6;418.6;360.8;10;6;8;9;101000010101000010001000000000000010100000022;010000000000001000000100000000101100000000002;000000000011000100001010001000000001010002222;000001100001000000101010001000100100000000000;1078.0;1056.0;1087.0;1066.0
1;588.0;343.8;433.2;324.8;15;8;8;8;110001010100000001000110010001100010000001122;100001000000000000101000100001001000000000012;000001000110000100000001000000010100000002222;000100100001001010011000000100000000000000000;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;491.1;404.3;470.4;454.7;11;12;13;15;010101011011000000000010100100000000010000022;000111001000000010001011100000000000100100102;000001000101000100010000010101011010001002222;000010001101001010000101000011011000010001001;1076.0;1055.0;1086.0;1065.0
1;572.9;582.8;517.1;508.2;14;22;12;21;110010100000011010010000010001100000001001022;110100101000101100111000000000001111100111112;100000000101000000010000100011100100010012222;000110011100111000110110000101110001110001001;1078.0;1056.0;1087.0;1066.0
1;nan;406.0;nan;496.8;0;5;0;17;;110000000000000000000000000001100010000000002;;100001011100010100100001100000110001101110000;nan;1056.0;nan;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;499.7;467.6;417.7;497.6;11;12;7;18;010000011000000000001000000010011001000001122;111100001100000000000000001101110000100000002;000010100000100000000000001010100000000102222;110101010101011100010000001000110100100110000;1078.0;1056.0;1087.0;1066.0
0;371.6;480.6;492.7;457.2;6;15;12;14;000011001000000100000000000100000001000000022;000001100100001000010001010010101100101101002;110000100000100010000110001000100000100002222;101000101010010000011001001001100010000001000;1077.0;1058.0;1088.0;1067.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;539.0;608.6;511.1;515.6;11;30;10;19;101000100000010100000000010001000000001011022;111110011111101101010010011011101001111111002;010001000000010000100001000001100101000002222;011000001001110100010010000100110011110101100;1078.0;1056.0;1087.0;1066.0
1;433.5;468.7;423.6;456.5;9;13;9;14;010010000000001100000000100001000100001000122;000010010010000101000110000001100011000001002;000010000000000001011010100000010100100002222;010000001111000001000110000000100001000101101;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;701.2;625.8;437.8;602.2;21;29;8;29;011101011000000101010001011101001100101100022;101111010100000011111111010101110111111111002;000000000000010100000001000010010001000002222;001010001111011011111101011111101101110010101;1076.0;1055.0;1086.0;1065.0
1;500.3;498.3;430.7;429.8;11;14;9;12;001000010101010001000010000000000100000111022;001010010100000000110101010001001110000010002;000100000101000000001000010110000100000002222;000000000000001011101000011001001000000100101;1076.0;1055.0;1086.0;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;545.0;515.3;507.5;573.9;14;17;13;25;011001000000010101000010100010011100000001122;001001000100001100001100001101110100110010012;100000010000010110000010010110010111000002222;110010001110011010011101011111001001011010011;1077.0;1058.0;1088.0;1067.0
1;503.7;468.4;444.4;524.6;12;14;7;21;100000010000010111010000000101000000000110022;001000101000100010111000001000100000110101002;010000110000000000000000100000100001000002222;011001011101111110100000010010000100101010101;1078.0;1056.0;1087.0;1066.0
1;467.6;483.4;430.9;500.6;13;14;9;17;000010001100000110111000010000001000000001122;000010100100011000100101110001101000001000002;000000110000100010000001000011000000100002222;001000010000100010011110100000111000101100101;1076.0;1055.0;1086.0;1065.0
0;422.8;477.9;474.9;469.7;11;11;12;16;000100000000110010111001000000001001010000022;000000001100001100111000000010100000000101002;000000100000000000000011011100010010100112222;001000111100010010011000001111000000001011000;1077.0;1058.0;1088.0;1067.0
1;608.1;569.2;414.1;553.0;15;25;9;22;000010100010010010010010001011000101000010022;111111001001000111111010001000011010111010012;000000001001000011010100001011000000000002222;100100001001111100010011110000110100011110110;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;490.9;447.4;408.8;417.5;10;9;8;10;000101010000001100110000000000000000110000022;000000000100000000001100001000000100100101012;101100010010000011000000000010000000000002222;101000001000000000000101000000100010110100000;1077.0;1058.0;1088.0;1067.0
1;435.6;447.2;500.8;518.2;8;10;13;21;010010000000100110000000000000010000000000022;001000001100000000000010000011000010110000002;101000100001101010000101000000100001010012222;000000011100010100010100010101110110111011110;1078.0;1056.0;1087.0;1066.0
1;445.0;473.8;476.5;484.5;9;12;9;17;010110010000000001000000000011000000000100122;101011010000001000100001110000000001010000002;000010010100010000011000000011000010000002222;100000011101010010010110001000000000111000111;1076.0;1055.0;1086.0;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;384.6;477.0;425.1;383.7;8;14;5;8;000001010011001001000000100000000000000001022;110000100100001100011010000001100010000001012;000000100001000000001000000000100000001002222;000000010000000000000000010000000000011010111;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;405.5;474.6;402.4;391.3;6;13;9;12;000000100001001011000000000000000000001000022;010011000110010110001001110100000000000000002;100000000011000011001010010000000000100002222;100010010000001001010000100100001000010001001;1076.0;1055.0;1086.0;1065.0
0;613.2;595.8;499.8;591.9;13;24;13;29;001001010000000010000011001010001011100010022;101101111111000100111101000110001100000111012;001100001001011010011000000010011100000002222;111101101111010010000101111011111001001110111;1077.0;1058.0;1088.0;1067.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;464.7;493.3;415.4;459.2;9;14;7;15;001100010000001000000011000000100000011000022;110001010000001101100000000011001000000001012;000010000001000010000000000000100001100002222;001001000001000000110110001011001001010010100;1075.0;1057.0;1085.0;1068.0
0;666.2;621.5;490.8;622.5;15;29;10;32;010000000000011011010001001011000000011010122;001011110010111011101111110010111011000111012;010010000011110011000000001000000010000002222;011101101110011111111110111111111001011000101;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;586.3;468.3;456.3;497.1;13;14;11;15;000001010000001110011010001010010100000001022;101001000101000100010001111010010001000000002;000100010110000100011000010010000100000002222;000110001100000011010001000011100001000011001;1077.0;1058.0;1088.0;1067.0
0;485.0;512.8;511.2;550.4;13;16;11;22;010110001000000011001011000000011000001000122;001010010001000001100000101110000110011010012;000011000000000001001000011000100001001002222;001010000001111011100000111101111001100100101;1076.0;1055.0;1086.0;1065.0
0;479.1;601.9;525.6;608.8;15;23;11;30;110010001010000001000100100000110100101001022;100001111110111011100110100100001011000011102;000010000101110000000010010001000001100002222;011101111111011001111110100010101001001111111;1075.0;1057.0;1085.0;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;369.9;497.3;484.6;484.0;5;15;12;16;000001000000010000000000000100000100000000022;010111011000001000100000110110001100000100002;010010000000110100001100010100000010100002222;100000001100001011010001100000011001110100100;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;590.4;519.9;544.1;486.1;14;16;14;17;010000000000011001001000101001110100011010022;000000010011001010100000100111100011000101012;110000000110010001101001000000100000101012222;010010000010010110111110000011011010000000100;1075.0;1057.0;1085.0;1068.0
1;414.8;519.2;451.8;407.2;14;16;12;10;000001000000000010101010000011001010011001122;000011000101011000100101010100011100000001102;110101010000000010000000100010000001100102222;000000000010100000010110010001001000011000000;1076.0;1055.0;1086.0;1065.0
1;505.9;537.6;490.0;555.6;9;22;15;22;010000000000010001000000000100001000000011122;111010011110000000011100101101110011000010102;000011110011000000010011000010010100110002222;011010011101100100110001010000110101111000110;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;583.8;658.9;586.5;611.7;11;32;15;31;110010000000000110000100000001010100000001022;111100101110101101100111010110011111111110112;010001100010100010101011101011000000000012222;101101111101111100110011111100111000110101111;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;521.9;503.8;474.0;529.0;12;15;12;20;100000000010011000010110000100000001000011022;100000100010001001100101010010000010011001102;001100000000100010010001101000000000110002222;001001001111001011110111001011000000001000011;1078.0;1057.0;1087.0;1068.0
1;484.0;474.4;448.3;540.9;14;13;10;23;100010100010010000100010001000110100101000122;001000010000010011000010001011000101000001002;101001101001000000000000010000100010000102222;000110101110010001010111010011101001110010110;1183.0;1177.0;1187.0;1181.0
0;494.1;568.7;563.5;426.9;10;20;15;11;000101000011000010000010000100000010000010022;101101011111001110111100100000000100000001102;111100010000000000000011011011011011000002222;000100001000010000000000011110000100011000010;1077.0;1058.0;1088.0;1067.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;628.0;578.8;575.9;597.2;16;23;19;28;000100010010000011110010110100000111100100022;010011011111011001110001010111110011000000102;010010010100110000011100100111001000101012222;011101111001001011011110111100111000101010111;1076.0;1055.0;1086.0;1065.0
1;469.2;546.4;486.2;523.5;12;19;10;19;100000100010000010111000001000000000101100022;011011001101011000100001110100000010101001102;000110000010000010101001000000001010010002222;000011101000101010010110101001111001000000110;1076.0;1055.0;1086.0;1065.0
1;549.7;561.1;526.6;517.2;9;21;13;19;000001010001000010000010011010000000100000022;101001111100000101011000010010111000100011112;001001011110010000000000001001010010100002222;101100001010000010000001010110110001011011101;1077.0;1058.0;1088.0;1067.0
0;642.9;656.1;617.5;657.1;15;30;19;34;000011010000000010001100001010001001100110122;101101111111101110111111001010011100011010102;101000001110010000100010000111100111001102222;010111101111111001001111101111101011111111011;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;508.1;480.0;438.4;533.8;12;13;10;20;011000010001000011111000000001000000010001022;001110010010001100000101010000110100000000002;000001000010000000011100000011000000010112222;011010101100001011011101100001111000001000100;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;483.5;551.4;552.4;521.5;10;20;17;18;001000000010001000000010001000010100011001022;110000010000011010001110111010011000000101112;100000001111110111000010100110010000000002222;010101100011001001110010000101111000000001100;1075.0;1057.0;1085.0;1068.0
